,channel_1,channel_2,theta,alpha,beta,gamma
159,P7-1,C4-0,0.08437558352201074,0.10511848299370877,0.18409098949619132,0.11918278473395053
160,P7-1,T8-0,0.12795649125508807,0.07116003239909821,0.08431670211333396,0.059620858745912886
161,P7-1,P8-0,0.1855641647972872,0.07520603382189636,0.057097882786772435,0.07271032307681563
162,C4-1,C3-0,0.17177478026058754,0.0928954536662554,0.049476569988377836,0.03475962587450072
163,C4-1,T7-0,0.1739728488665667,0.025817393679481587,0.06104847885334407,0.1326649979065467
164,C4-1,P7-0,0.0796181014284071,0.06912289084781335,0.04898763715822345,0.039111920678641096
165,C4-1,C4-0,0.07834905084365043,0.04579275121447199,0.1282764014749679,0.0438442322872424
166,C4-1,T8-0,0.0438382778288697,0.0778620980270465,0.06432019929329827,0.02834119957372318
167,C4-1,P8-0,0.06817618469465066,0.09317404189694138,0.05437262890864172,0.11292779939195942
168,T8-1,C3-0,0.1670532025324617,0.056570180158332165,0.1825502351315694,0.020097738144198227
169,T8-1,T7-0,0.06056196990330427,0.06097480936785363,0.28918466263005793,0.05608648283489314
170,T8-1,P7-0,0.10283789568288916,0.05153381149648866,0.20910750213289095,0.09753312707332623
171,T8-1,C4-0,0.035281993670984814,0.06550617952886442,0.03554624715788611,0.07711980521625772
172,T8-1,T8-0,0.05728329106298185,0.02763271408830521,0.11453820242900513,0.065882164636436
173,T8-1,P8-0,0.011651805684921962,0.0465992664343344,0.10542646731802527,0.036790329225684384
174,P8-1,C3-0,0.06896014573537207,0.02075377310331951,0.06852999280889739,0.16473540123459593
175,P8-1,T7-0,0.09090000898023932,0.03948058856323785,0.05169591703941005,0.06100694485549666
176,P8-1,P7-0,0.07360919418815481,0.039645625863865136,0.1168660415828468,0.0871686282596932
177,P8-1,C4-0,0.044272630185060086,0.08855465843146508,0.13597590329068496,0.06184333306032867
178,P8-1,T8-0,0.0508677979095944,0.04612402386494309,0.13554545445290772,0.08627137620571784
179,P8-1,P8-0,0.09368418055525453,0.041654217971890464,0.06903859621992825,0.0343734110165538
180,C3-1,C3-0,0.10069180351345856,0.05441080288667169,0.19869725495047932,0.04978736201412365
181,C3-1,T7-0,0.08728281949041845,0.022319432844796344,0.2905362061114793,0.10752610243479142
182,C3-1,P7-0,0.15480778438234644,0.13492926566951674,0.19319397626638846,0.08945673488304881
183,C3-1,C4-0,0.12126943057310395,0.13845178565827354,0.1263884305143796,0.15742147733910036
184,C3-1,T8-0,0.1143697149493716,0.04656169045460242,0.091114313229967,0.04206770969289444
185,C3-1,P8-0,0.03875929778297151,0.028870501428337508,0.08958631979629178,0.033657991428942144
186,T7-1,C3-0,0.11063846945598277,0.09282868291984178,0.0694379373650026,0.07308036266130549
187,T7-1,T7-0,0.1600645342945007,0.1592288826508133,0.14546413553351134,0.1053311728838336
188,T7-1,P7-0,0.16519363316290506,0.034026899147592875,0.04391743536321965,0.08368538889927173
