,channel_1,channel_2,theta,alpha,beta,gamma
81,T7-1,C4-0,0.0334515375485176,0.06818681413213779,0.0857899182256245,0.11005840501304234
82,T7-1,T8-0,0.14118648691533325,0.051014138996118084,0.10593583442950524,0.13167316970181875
83,T7-1,P8-0,0.10652724884042683,0.06493546791707604,0.12696988696381736,0.06281297046312102
84,P7-1,C3-0,0.04948938031140432,0.15626964915816227,0.07499316936511932,0.025617944452574568
85,P7-1,T7-0,0.03536492641943139,0.06556978562928413,0.047539842807324616,0.03736469333829613
86,P7-1,P7-0,0.05338186478324311,0.036134927045981265,0.07158186546241886,0.1102746709416477
87,P7-1,C4-0,0.06524752185747566,0.03904679126694945,0.14795626226554615,0.05645631534747149
88,P7-1,T8-0,0.10461376818336793,0.08967717006619247,0.07920125946414014,0.08988294414906205
89,P7-1,P8-0,0.0891405075466024,0.16568411363351154,0.06214567675191901,0.06472612569044645
90,C4-1,C3-0,0.10787463381830008,0.0201124808838611,0.1174080874996555,0.04846072953672535
91,C4-1,T7-0,0.06317074021503077,0.073508847912396,0.0936832617855834,0.148040633511766
92,C4-1,P7-0,0.06484617579566072,0.052099580231616066,0.10686377133402854,0.2247506159208312
93,C4-1,C4-0,0.07690618094543801,0.11284460593393507,0.14462917972094727,0.08224176331472148
94,C4-1,T8-0,0.19261857376556948,0.14341038653798932,0.0911362709009976,0.023283846405975545
95,C4-1,P8-0,0.1134163350609128,0.1459200120475276,0.0864699673760193,0.03171113548640277
96,T8-1,C3-0,0.11799700822509675,0.07318906699138614,0.11737117092768308,0.07794783615925091
97,T8-1,T7-0,0.11174243291790224,0.05464461037335292,0.019808927291371417,0.048748173936267784
98,T8-1,P7-0,0.06774216866397424,0.04171869451795162,0.0642248083646089,0.07861252370788027
99,T8-1,C4-0,0.08729469358324915,0.027943148010188237,0.04477713574650692,0.10115517094692364
100,T8-1,T8-0,0.06353024760226543,0.04314772780076919,0.037296754120752944,0.03960054004372306
101,T8-1,P8-0,0.14320800987957333,0.12269783798114135,0.052826799435009945,0.08007311135573328
102,P8-1,C3-0,0.06497884528800309,0.026334539298500544,0.07918946041615736,0.06054272744871785
103,P8-1,T7-0,0.05403917393070486,0.04159454443283432,0.07613901215668864,0.13342321603481805
104,P8-1,P7-0,0.18061265583008126,0.01761935730001866,0.06735244533985271,0.040232410860355235
