,channel_1,channel_2,theta,alpha,beta,gamma
304,P7-1,T8-0,0.002586575,0.268318008,0.134698452,0.059237298
305,P7-1,P8-0,0.058565245,0.209945725,0.114848008,0.16825946
306,C4-1,C3-0,0.235962879,0.162792913,0.134065977,0.185475914
307,C4-1,T7-0,0.191899181,0.084970374,0.070671111,0.08898863
308,C4-1,P7-0,0.123891163,0.101842619,0.12893299,0.136271282
309,C4-1,C4-0,0.149832306,0.094230537,0.132130285,0.160658254
310,C4-1,T8-0,0.138846828,0.08763503,0.058962014,0.381069655
311,C4-1,P8-0,0.110011861,0.100352573,0.147858403,0.212801126
312,T8-1,C3-0,0.140990413,0.139844782,0.165908602,0.039135961
313,T8-1,T7-0,0.116583994,0.046527119,0.191697513,0.083691189
314,T8-1,P7-0,0.066585068,0.126951628,0.086296749,0.114631817
315,T8-1,C4-0,0.060088575,0.140861601,0.088691998,0.189909877
316,T8-1,T8-0,0.141040318,0.107439938,0.251981165,0.144105492
317,T8-1,P8-0,0.122531816,0.114710858,0.059753984,0.122860632
318,P8-1,C3-0,0.026180236,0.107963176,0.137313765,0.106807834
319,P8-1,T7-0,0.1031048,0.041698256,0.075652136,0.155524397
320,P8-1,P7-0,0.07053807,0.054791797,0.091727755,0.074355434
321,P8-1,C4-0,0.058768209,0.096767195,0.065800488,0.163550539
322,P8-1,T8-0,0.102744901,0.116948144,0.068424099,0.10647869
323,P8-1,P8-0,0.048329626,0.049666011,0.06157266,0.035755644
324,C3-1,C3-0,0.125705491,0.102668672,0.207399803,0.043205812
325,C3-1,T7-0,0.219834697,0.158303144,0.295771771,0.113595478
326,C3-1,P7-0,0.206307238,0.090302025,0.287588304,0.096690725
327,C3-1,C4-0,0.230123868,0.03948575,0.10022587,0.104267933
328,C3-1,T8-0,0.256131067,0.036994554,0.190305466,0.065957874
329,C3-1,P8-0,0.160094208,0.068525629,0.047156432,0.118575532
330,T7-1,C3-0,0.142044879,0.087272367,0.135895296,0.077143652
331,T7-1,T7-0,0.171085006,0.044812185,0.214998655,0.102878806
332,T7-1,P7-0,0.132134925,0.061362139,0.19557509,0.059255694
333,T7-1,C4-0,0.198882264,0.046072158,0.02263786,0.213520563
334,T7-1,T8-0,0.166663805,0.132618905,0.113250037,0.068412778
335,T7-1,P8-0,0.159398313,0.154829262,0.05330204,0.114330758
336,P7-1,C3-0,0.123811412,0.032106631,0.103459379,0.186291782
337,P7-1,T7-0,0.228923885,0.082577804,0.216987329,0.108945188
338,P7-1,P7-0,0.172609529,0.016801199,0.220077662,0.105405413
339,P7-1,C4-0,0.201495042,0.05561028,0.197149952,0.085988123
340,P7-1,T8-0,0.174838131,0.058231174,0.227263374,0.113435943
341,P7-1,P8-0,0.148633812,0.132710561,0.126147487,0.139747157
342,C4-1,C3-0,0.086333397,0.134386872,0.049538162,0.040593956
343,C4-1,T7-0,0.106250651,0.081601527,0.06632721,0.130629598
344,C4-1,P7-0,0.081745566,0.07468092,0.11570458,0.172928466
345,C4-1,C4-0,0.054068852,0.17243784,0.104745333,0.053925401
346,C4-1,T8-0,0.119035012,0.05765935,0.090234301,0.041632792
347,C4-1,P8-0,0.094975659,0.082151885,0.068138845,0.074333583
348,T8-1,C3-0,0.05546314,0.119448768,0.029328591,0.067828527
349,T8-1,T7-0,0.043369534,0.147127816,0.051756514,0.059873723
350,T8-1,P7-0,0.017093263,0.108457913,0.110727657,0.091998844
351,T8-1,C4-0,0.058885791,0.08437532,0.037307681,0.103903033
352,T8-1,T8-0,0.028021269,0.065598884,0.019105362,0.053545943
353,T8-1,P8-0,0.022697836,0.06846716,0.069943113,0.104249379
354,P8-1,C3-0,0.05714121,0.174259393,0.096826544,0.053194195
355,P8-1,T7-0,0.122597926,0.07907464,0.143749536,0.06872135
356,P8-1,P7-0,0.093732377,0.069589702,0.121566371,0.095096766
357,P8-1,C4-0,0.080263961,0.099071623,0.046354707,0.08142394
358,P8-1,T8-0,0.067491259,0.057638377,0.079815345,0.201249083
359,P8-1,P8-0,0.111485591,0.029109869,0.080023259,0.077591105
360,C3-1,C3-0,0.088037573,0.113508538,0.047438463,0.071240184
361,C3-1,T7-0,0.147490284,0.115861672,0.083860279,0.068838501
362,C3-1,P7-0,0.207150323,0.130174659,0.06962246,0.065820021
363,C3-1,C4-0,0.052080989,0.05552581,0.054235128,0.045242643
364,C3-1,T8-0,0.17187673,0.123226079,0.052016366,0.037220357
365,C3-1,P8-0,0.090721842,0.069714648,0.056473965,0.135510039
366,T7-1,C3-0,0.210639634,0.03135986,0.128031106,0.116192392
367,T7-1,T7-0,0.053926324,0.113877385,0.053598565,0.053585844
368,T7-1,P7-0,0.035982996,0.189433877,0.116206139,0.063634604
369,T7-1,C4-0,0.136445427,0.051417206,0.11984006,0.075954538
370,T7-1,T8-0,0.063592768,0.063201215,0.044964707,0.090139475
371,T7-1,P8-0,0.05909542,0.103352758,0.038601304,0.177772364
372,P7-1,C3-0,0.106837432,0.064766424,0.047344275,0.047503426
373,P7-1,T7-0,0.050783456,0.016059813,0.025306862,0.126515001
374,P7-1,P7-0,0.044252885,0.094139442,0.043869926,0.102828887
375,P7-1,C4-0,0.074995859,0.122381003,0.025729849,0.069977951
376,P7-1,T8-0,0.108751097,0.071407152,0.056240379,0.081327268
377,P7-1,P8-0,0.04663607,0.108133208,0.080770636,0.093046536
378,C4-1,C3-0,0.065420955,0.042794893,0.054948789,0.12186565
379,C4-1,T7-0,0.141960162,0.087440501,0.099580701,0.07234658
380,C4-1,P7-0,0.124652651,0.037259234,0.137741844,0.046681746
381,C4-1,C4-0,0.026110372,0.041653054,0.069334132,0.071979083
382,C4-1,T8-0,0.162264846,0.031155182,0.077871987,0.132360441
383,C4-1,P8-0,0.086305703,0.035042921,0.039770318,0.104575123
384,T8-1,C3-0,0.054017486,0.073010369,0.043344523,0.13573303
385,T8-1,T7-0,0.030455141,0.136191823,0.079626381,0.03458686
